total_budget,budget_instagram,pct_instagram,budget_google,pct_google,budget_tiktok,pct_tiktok,budget_facebook,pct_facebook,budget_youtube,pct_youtube,budget_linkedin,pct_linkedin,aov,creative_quality,campaign_days,target_margin,age,gender,income_level,conversions,revenue,instagram_impr,instagram_clicks,instagram_conv,instagram_rev,google_impr,google_clicks,google_conv,google_rev,tiktok_impr,tiktok_clicks,tiktok_conv,tiktok_rev,facebook_impr,facebook_clicks,facebook_conv,facebook_rev,youtube_impr,youtube_clicks,youtube_conv,youtube_rev,linkedin_impr,linkedin_clicks,linkedin_conv,linkedin_rev
2.94,0.43,0.1463,0.35,0.119,0.41,0.1395,1.0,0.3401,0.37,0.1259,0.37,0.1259,3.41,0.901,5,0.566,53,man,all,1.095,3.73,243.61,5.53,0.221,0.75,161.14,5.24,0.298,1.02,301.94,7.78,0.265,0.9,460.43,9.23,0.246,0.84,130.17,2.28,0.047,0.16,112.23,1.29,0.019,0.06
59.67,8.21,0.1376,10.47,0.1755,7.55,0.1265,9.32,0.1562,9.62,0.1612,14.5,0.243,18.0,0.703,1,0.371,62,woman,high,21.469,386.45,5112.72,112.27,4.552,81.93,4122.7,129.21,7.687,138.36,5411.8,142.62,4.836,87.04,4706.83,97.34,2.485,44.73,3363.4,54.07,1.123,20.22,4482.78,50.69,0.787,14.16
3.74,0.05,0.0134,0.59,0.1578,0.95,0.254,0.69,0.1845,1.09,0.2914,0.37,0.0989,10.38,0.675,4,0.207,32,man,high,1.193,12.39,26.55,0.58,0.021,0.22,236.16,7.88,0.419,4.35,653.68,16.41,0.475,4.93,358.72,6.11,0.144,1.5,372.99,6.41,0.115,1.19,113.16,1.22,0.018,0.19
29.45,8.63,0.293,1.2,0.0407,8.85,0.3005,2.04,0.0693,8.5,0.2886,0.23,0.0078,10.29,0.6,28,0.07,69,man,low,9.525,98.01,4731.1,82.88,3.188,32.8,520.2,14.8,0.805,8.28,5450.18,119.27,4.066,41.84,1039.49,19.06,0.586,6.03,3016.86,46.5,0.867,8.92,74.43,0.83,0.013,0.14
23.33,3.1,0.1329,2.79,0.1196,1.59,0.0682,7.67,0.3288,1.11,0.0476,7.06,0.3026,4.79,0.942,3,0.559,43,man,all,7.466,35.76,1711.86,39.04,1.629,7.8,1085.86,36.24,1.922,9.21,1110.65,29.68,1.117,5.35,3405.26,76.03,2.239,10.72,436.03,8.29,0.154,0.74,2378.95,29.36,0.405,1.94
1.77,0.6,0.339,0.13,0.0734,0.33,0.1864,0.21,0.1186,0.45,0.2542,0.05,0.0282,13.36,0.768,27,0.443,63,woman,high,0.881,11.76,331.38,7.71,0.384,5.13,58.1,2.06,0.141,1.88,257.79,6.72,0.233,3.11,109.68,2.2,0.066,0.88,155.73,2.67,0.055,0.73,16.91,0.17,0.003,0.04
222.46,8.54,0.0384,17.53,0.0788,50.57,0.2273,62.78,0.2822,12.27,0.0552,70.76,0.3181,21.65,0.632,11,0.47,19,man,low,68.878,1491.21,5277.47,114.93,4.572,98.99,7151.89,221.51,11.359,245.91,35260.08,856.29,33.32,721.37,30744.37,531.34,15.414,333.72,4231.33,58.12,1.068,23.11,23759.32,210.34,3.145,68.09
23.87,1.4,0.0587,5.3,0.222,5.94,0.2488,6.34,0.2656,3.94,0.1651,0.96,0.0402,13.58,0.686,23,0.158,66,woman,high,12.254,166.4,786.21,14.3,0.534,7.25,2077.86,71.81,4.63,62.88,4259.29,112.57,4.438,60.27,3282.93,65.05,1.983,26.93,1517.08,25.06,0.607,8.24,302.28,3.66,0.062,0.84
13.22,4.29,0.3245,0.85,0.0643,0.86,0.0651,3.94,0.298,1.28,0.0968,1.99,0.1505,9.24,0.737,29,0.438,67,woman,high,4.365,40.33,2273.93,49.94,2.025,18.71,354.02,10.93,0.636,5.88,599.64,12.91,0.455,4.21,1688.38,32.97,0.992,9.16,508.56,7.97,0.156,1.44,612.14,7.02,0.102,0.94
1.25,0.7,0.56,0.04,0.032,0.17,0.136,0.09,0.072,0.08,0.064,0.17,0.136,5.65,0.797,13,0.409,65,man,high,0.594,3.36,424.94,9.0,0.405,2.29,15.04,0.51,0.03,0.17,118.76,3.34,0.113,0.64,46.94,0.97,0.029,0.16,28.98,0.45,0.009,0.05,50.54,0.57,0.008,0.05
25.45,10.42,0.4094,3.62,0.1422,2.38,0.0935,5.96,0.2342,0.89,0.035,2.18,0.0857,16.74,0.836,24,0.381,65,man,all,10.484,175.5,5682.19,121.85,4.244,71.05,1510.85,48.61,2.824,47.27,1610.5,41.51,1.526,25.54,2908.45,57.5,1.611,26.97,327.28,5.44,0.115,1.93,782.06,9.8,0.164,2.74
1.72,0.02,0.0116,0.18,0.1047,0.55,0.3198,0.38,0.2209,0.24,0.1395,0.35,0.2035,15.65,0.731,10,0.552,65,man,high,0.749,11.73,10.83,0.24,0.009,0.14,81.6,2.8,0.165,2.58,336.54,10.08,0.357,5.58,209.98,5.06,0.162,2.53,93.64,1.72,0.037,0.57,116.31,1.26,0.02,0.31
157.13,17.8,0.1133,34.89,0.222,37.27,0.2372,18.23,0.116,13.79,0.0878,35.15,0.2237,19.51,0.834,15,0.59,60,man,low,67.761,1322.01,10317.64,209.26,7.009,136.74,15159.68,490.99,29.267,571.0,24518.12,586.86,22.433,437.67,8771.17,167.7,5.091,99.33,5452.96,86.32,1.767,34.47,12250.37,133.25,2.193,42.79
1.53,0.03,0.0196,0.01,0.0065,0.04,0.0261,0.33,0.2157,0.48,0.3137,0.64,0.4183,15.34,0.338,29,0.331,60,man,low,0.189,2.89,17.76,0.33,0.015,0.23,3.88,0.11,0.007,0.1,28.87,0.57,0.02,0.31,167.14,2.47,0.064,0.98,184.41,2.8,0.055,0.85,206.84,1.97,0.027,0.42
2.02,0.23,0.1139,0.03,0.0149,0.2,0.099,0.96,0.4752,0.03,0.0149,0.57,0.2822,9.46,0.866,23,0.227,45,woman,low,0.509,4.81,124.62,2.4,0.106,1.0,13.74,0.41,0.023,0.22,123.6,3.03,0.105,0.99,508.56,8.64,0.243,2.3,11.64,0.18,0.004,0.04,182.78,1.88,0.028,0.26
127.84,23.72,0.1855,31.76,0.2484,2.91,0.0228,52.18,0.4082,8.5,0.0665,8.77,0.0686,22.4,0.871,10,0.54,72,man,high,59.794,1339.39,12679.75,269.47,10.463,234.37,12934.76,417.59,26.284,588.76,1912.46,53.57,1.806,40.45,27255.16,573.52,19.633,439.79,3276.92,56.48,1.12,25.08,2959.24,31.45,0.489,10.94
2.12,0.68,0.3208,0.21,0.0991,0.22,0.1038,0.49,0.2311,0.37,0.1745,0.14,0.066,5.69,0.532,9,0.588,59,man,high,0.759,4.32,366.08,6.66,0.269,1.53,87.39,2.3,0.162,0.92,172.97,4.49,0.154,0.87,242.97,4.0,0.125,0.71,122.27,1.98,0.041,0.23,44.9,0.54,0.009,0.05
6.0,0.98,0.1633,0.75,0.125,0.1,0.0167,3.3,0.55,0.6,0.1,0.27,0.045,20.13,0.361,20,0.475,31,man,low,2.018,40.63,500.41,9.95,0.433,8.72,327.03,7.86,0.48,9.66,77.5,1.74,0.063,1.26,1633.26,28.64,0.96,19.32,226.66,3.17,0.07,1.41,81.03,0.75,0.012,0.24
2.88,1.2,0.4167,0.19,0.066,0.19,0.066,0.44,0.1528,0.16,0.0556,0.7,0.2431,11.86,0.671,23,0.38,23,man,low,0.935,11.09,634.12,13.52,0.523,6.2,78.53,2.2,0.129,1.53,142.59,3.52,0.101,1.2,227.84,4.77,0.13,1.54,58.16,0.81,0.016,0.19,263.65,2.65,0.036,0.43
46.55,15.88,0.3411,9.07,0.1948,7.28,0.1564,2.33,0.0501,5.86,0.1259,6.13,0.1317,14.66,0.511,9,0.433,72,woman,low,19.107,280.11,9140.62,179.78,7.146,104.76,3736.97,101.79,5.882,86.23,5028.67,113.51,4.721,69.21,1126.75,20.17,0.612,8.97,2283.53,28.21,0.472,6.92,1820.23,18.67,0.274,4.01
170.45,27.86,0.1634,33.28,0.1952,17.03,0.0999,28.39,0.1666,25.84,0.1516,38.05,0.2232,20.83,0.643,13,0.546,45,all,high,67.772,1411.69,15512.25,321.3,11.804,245.87,12526.82,445.09,27.638,575.7,13555.68,390.23,13.548,282.21,14213.48,302.63,9.293,193.57,10295.23,153.5,3.398,70.77,12512.33,136.29,2.092,43.58
1.73,0.11,0.0636,0.06,0.0347,0.43,0.2486,0.08,0.0462,0.85,0.4913,0.2,0.1156,12.26,0.639,1,0.151,29,man,all,0.539,6.61,59.07,1.2,0.049,0.6,25.12,0.78,0.041,0.51,324.14,8.44,0.305,3.74,36.73,0.63,0.022,0.27,349.33,5.41,0.112,1.38,61.41,0.58,0.01,0.13
70.2,2.12,0.0302,4.39,0.0625,3.1,0.0442,25.38,0.3615,26.65,0.3796,8.56,0.1219,16.12,0.67,6,0.107,64,woman,low,14.621,235.69,1341.86,27.29,1.077,17.35,1757.41,49.91,3.265,52.63,2241.5,52.76,1.723,27.77,12652.04,219.46,5.522,89.01,10034.26,147.59,2.643,42.6,2849.63,30.49,0.392,6.33
5.93,0.69,0.1164,0.4,0.0675,0.89,0.1501,0.87,0.1467,2.22,0.3744,0.86,0.145,0.7,0.971,3,0.411,14,woman,low,1.924,1.35,397.58,9.75,0.41,0.29,162.69,5.83,0.338,0.24,639.6,17.91,0.586,0.41,445.17,8.73,0.261,0.18,869.02,13.79,0.284,0.2,283.57,2.99,0.044,0.03
1.23,0.23,0.187,0.14,0.1138,0.24,0.1951,0.22,0.1789,0.1,0.0813,0.3,0.2439,15.48,0.698,20,0.33,39,man,all,0.533,8.25,121.03,2.47,0.105,1.62,59.91,2.28,0.149,2.3,163.93,4.74,0.185,2.86,110.99,2.2,0.065,1.0,35.76,0.65,0.012,0.18,95.09,1.17,0.019,0.29
7.47,3.52,0.4712,0.74,0.0991,0.15,0.0201,0.61,0.0817,1.64,0.2195,0.81,0.1084,17.04,0.831,1,0.29,66,woman,high,2.745,46.78,1702.95,38.12,1.589,27.07,313.99,10.08,0.652,11.1,101.54,2.78,0.092,1.56,299.0,5.81,0.187,3.19,592.23,9.62,0.178,3.04,239.77,3.05,0.048,0.82
44.28,3.81,0.086,14.92,0.3369,4.66,0.1052,4.95,0.1118,2.28,0.0515,13.65,0.3083,8.86,0.699,7,0.214,43,woman,low,16.345,144.81,2105.55,43.22,1.652,14.64,6648.55,180.41,9.339,82.74,3299.12,76.03,2.877,25.49,2576.51,54.91,1.515,13.43,909.71,12.36,0.247,2.19,4443.36,46.13,0.714,6.33
43.62,3.36,0.077,1.73,0.0397,14.28,0.3274,1.11,0.0254,19.6,0.4493,3.53,0.0809,19.69,0.911,23,0.429,57,woman,low,16.699,328.81,1999.64,42.11,1.976,38.9,648.3,18.54,1.023,20.15,10124.79,316.42,11.147,219.48,572.46,10.15,0.324,6.38,7094.25,104.16,2.06,40.56,1245.28,13.17,0.17,3.35
1.28,0.14,0.1094,0.15,0.1172,0.24,0.1875,0.26,0.2031,0.24,0.1875,0.25,0.1953,15.66,0.444,14,0.278,74,woman,low,0.4,6.26,85.35,1.65,0.072,1.12,60.98,1.62,0.102,1.6,166.85,3.9,0.126,1.98,123.49,2.08,0.064,1.0,91.01,1.29,0.027,0.42,81.8,0.7,0.009,0.14
221.03,11.0,0.0498,11.33,0.0513,96.56,0.4369,35.49,0.1606,51.34,0.2323,15.31,0.0693,11.12,0.547,4,0.072,37,woman,high,84.707,941.95,6966.88,145.15,5.032,55.95,4437.39,160.03,8.468,94.17,66620.67,1431.64,54.807,609.46,18064.75,312.06,10.086,112.16,19199.7,289.06,5.463,60.75,5126.06,57.58,0.85,9.45
2.38,0.53,0.2227,0.19,0.0798,0.4,0.1681,0.14,0.0588,0.11,0.0462,1.01,0.4244,18.47,0.971,1,0.318,26,all,high,0.893,16.49,299.93,7.26,0.323,5.96,78.17,2.86,0.152,2.81,252.51,8.61,0.294,5.43,68.78,1.57,0.058,1.08,46.17,0.77,0.015,0.28,303.47,3.48,0.05,0.92
3.72,0.47,0.1263,1.05,0.2823,0.06,0.0161,0.82,0.2204,0.78,0.2097,0.54,0.1452,3.21,0.609,17,0.296,50,man,low,1.403,4.5,266.09,5.0,0.207,0.66,447.44,13.89,0.846,2.72,40.72,1.03,0.035,0.11,385.12,6.62,0.204,0.65,306.13,4.28,0.086,0.28,194.37,1.94,0.025,0.08
88.92,18.03,0.2028,13.2,0.1484,12.24,0.1377,13.06,0.1469,25.21,0.2835,7.18,0.0807,10.42,0.334,14,0.377,80,man,low,30.557,318.4,9881.62,181.39,6.585,68.61,5566.1,145.78,9.871,102.86,8150.76,187.79,7.237,75.41,6246.11,105.09,3.835,39.96,9777.76,153.57,2.716,28.3,2101.32,20.34,0.313,3.26
128.57,1.56,0.0121,5.03,0.0391,45.86,0.3567,25.25,0.1964,12.06,0.0938,38.8,0.3018,15.49,0.439,8,0.08,34,man,low,42.077,651.78,868.21,15.64,0.639,9.89,2081.52,57.16,3.711,57.48,36250.1,807.94,27.74,429.7,12304.47,217.68,6.536,101.24,4804.4,68.65,1.338,20.73,12193.59,127.85,2.113,32.72
4.66,0.49,0.1052,2.31,0.4957,0.28,0.0601,0.8,0.1717,0.52,0.1116,0.25,0.0536,18.82,0.785,24,0.218,66,woman,all,2.556,48.11,263.44,4.65,0.202,3.8,908.3,30.52,1.871,35.21,187.97,5.36,0.187,3.52,381.95,7.26,0.218,4.1,194.84,3.38,0.065,1.22,80.38,0.93,0.014,0.26
14.44,3.95,0.2735,2.3,0.1593,1.39,0.0963,3.82,0.2645,0.35,0.0242,2.63,0.1821,19.51,0.741,6,0.135,45,woman,high,6.59,128.58,2300.66,61.7,2.606,50.84,917.21,30.03,1.744,34.02,890.74,21.87,0.827,16.14,1855.0,40.34,1.185,23.11,131.83,2.23,0.045,0.87,862.58,11.62,0.184,3.59
4.12,0.59,0.1432,0.36,0.0874,0.62,0.1505,0.42,0.1019,1.15,0.2791,0.98,0.2379,23.04,0.579,27,0.493,41,man,all,1.264,29.12,297.32,5.02,0.19,4.38,144.9,4.42,0.254,5.86,479.73,12.26,0.507,11.68,214.55,4.0,0.123,2.84,444.53,6.98,0.128,2.95,341.24,4.09,0.061,1.4
2.29,0.16,0.0699,0.35,0.1528,1.15,0.5022,0.11,0.048,0.45,0.1965,0.07,0.0306,19.9,0.849,22,0.201,75,woman,all,1.285,25.57,84.82,1.59,0.061,1.2,166.19,5.97,0.343,6.82,781.62,20.65,0.78,15.52,53.76,1.14,0.035,0.69,178.34,3.08,0.063,1.24,22.75,0.25,0.004,0.09
2.62,0.5,0.1908,0.06,0.0229,0.26,0.0992,0.39,0.1489,0.19,0.0725,1.22,0.4656,5.85,0.819,23,0.276,47,all,low,0.624,3.65,279.45,5.31,0.218,1.27,26.15,0.8,0.045,0.26,192.17,4.44,0.147,0.86,203.1,4.17,0.13,0.76,67.85,0.96,0.019,0.11,379.91,4.63,0.065,0.38
19.87,2.29,0.1152,3.1,0.156,5.74,0.2889,0.31,0.0156,3.67,0.1847,4.74,0.2386,3.71,0.619,19,0.06,27,all,high,7.297,27.07,1250.41,23.23,0.909,3.37,1226.75,43.28,2.57,9.53,3563.89,97.56,3.047,11.3,143.83,2.81,0.076,0.28,1391.31,21.7,0.485,1.8,1447.37,14.01,0.211,0.78
46.28,18.98,0.4101,6.55,0.1415,5.5,0.1188,9.68,0.2092,5.16,0.1115,0.4,0.0086,14.52,0.68,29,0.09,51,man,high,20.521,297.97,10597.43,210.52,8.562,124.31,2579.35,80.12,4.559,66.19,4154.71,110.83,4.145,60.19,4977.63,99.11,2.695,39.13,1852.72,28.97,0.536,7.78,120.71,1.48,0.025,0.37
8.07,0.86,0.1066,2.0,0.2478,2.82,0.3494,0.86,0.1066,0.64,0.0793,0.89,0.1103,0.67,0.587,6,0.554,43,man,all,4.141,2.77,484.21,9.94,0.423,0.28,882.73,27.58,1.768,1.18,1940.55,42.18,1.566,1.05,426.21,8.7,0.26,0.17,254.07,4.07,0.082,0.06,268.67,2.99,0.042,0.03
70.32,13.1,0.1863,16.11,0.2291,18.1,0.2574,4.99,0.071,13.25,0.1884,4.77,0.0678,7.86,0.648,3,0.428,74,man,all,33.577,263.92,6924.99,144.2,6.254,49.16,6785.73,215.14,13.831,108.71,13133.07,326.47,9.888,77.72,2663.32,46.39,1.35,10.61,5115.63,90.33,1.984,15.6,1596.01,17.19,0.271,2.13
26.39,0.92,0.0349,6.63,0.2512,0.06,0.0023,2.43,0.0921,12.24,0.4638,4.11,0.1557,8.98,0.775,12,0.381,38,woman,all,7.472,67.1,535.57,11.26,0.477,4.29,2525.04,82.26,4.859,43.64,47.09,1.22,0.043,0.39,1142.62,20.94,0.606,5.45,5067.27,68.33,1.245,11.18,1448.51,16.69,0.24,2.16
233.26,46.69,0.2002,11.01,0.0472,28.27,0.1212,16.64,0.0713,30.46,0.1306,100.18,0.4295,10.14,0.585,30,0.419,15,man,high,63.92,648.15,26120.28,614.27,23.514,238.43,4536.46,134.58,8.575,86.95,18513.43,539.5,19.588,198.63,8061.23,140.49,4.059,41.16,10833.3,162.95,3.467,35.15,32385.08,293.91,4.718,47.84
2.5,0.14,0.056,0.3,0.12,0.2,0.08,0.48,0.192,0.4,0.16,0.97,0.388,21.67,0.597,21,0.532,45,woman,all,0.578,12.53,76.72,1.54,0.062,1.35,116.04,3.32,0.205,4.45,131.09,3.19,0.103,2.22,237.27,4.05,0.115,2.48,145.82,2.36,0.05,1.08,300.92,3.18,0.044,0.95
1.55,0.23,0.1484,0.07,0.0452,0.07,0.0452,0.08,0.0516,0.54,0.3484,0.56,0.3613,21.98,0.791,29,0.4,63,all,high,0.379,8.32,124.65,2.83,0.121,2.66,29.2,1.0,0.068,1.5,48.99,1.42,0.054,1.2,40.91,0.84,0.028,0.62,190.89,3.18,0.062,1.37,223.46,2.87,0.045,0.99
30.6,17.32,0.566,0.42,0.0137,4.88,0.1595,1.11,0.0363,6.26,0.2046,0.62,0.0203,1.53,0.764,14,0.585,18,woman,low,11.993,18.35,10115.64,198.01,7.503,11.48,160.46,4.91,0.284,0.43,3748.66,95.57,3.085,4.72,555.97,11.25,0.376,0.58,2399.29,34.1,0.713,1.09,185.47,1.75,0.03,0.05
55.26,8.54,0.1545,6.9,0.1249,2.51,0.0454,8.39,0.1518,25.15,0.4551,3.78,0.0684,9.87,0.723,11,0.425,59,woman,low,15.254,150.55,4687.93,84.75,3.65,36.02,2806.82,78.48,4.546,44.87,1738.11,37.44,1.418,13.99,4346.25,79.07,2.274,22.44,10035.11,149.42,3.147,31.06,1280.23,12.92,0.219,2.16
3.06,0.51,0.1667,0.28,0.0915,0.68,0.2222,0.54,0.1765,0.88,0.2876,0.18,0.0588,15.63,0.577,2,0.13,58,all,low,1.088,17.01,277.04,5.76,0.232,3.63,118.99,3.74,0.222,3.47,454.91,11.16,0.412,6.45,233.23,3.89,0.112,1.76,365.13,4.96,0.1,1.56,58.14,0.64,0.009,0.14
2.02,0.18,0.0891,0.33,0.1634,0.37,0.1832,0.79,0.3911,0.29,0.1436,0.06,0.0297,2.21,0.896,18,0.483,33,man,low,0.746,1.65,99.39,2.31,0.092,0.2,133.77,4.15,0.229,0.51,269.03,6.55,0.191,0.42,367.02,7.16,0.192,0.43,115.64,1.96,0.04,0.09,18.19,0.2,0.003,0.01
3.33,0.12,0.036,0.57,0.1712,0.24,0.0721,0.48,0.1441,0.98,0.2943,0.94,0.2823,14.21,0.619,16,0.157,35,woman,low,0.862,12.24,67.62,1.33,0.055,0.78,237.46,6.64,0.437,6.21,180.42,3.89,0.138,1.97,235.11,3.95,0.1,1.42,357.27,4.88,0.093,1.33,286.11,2.88,0.038,0.54
2.75,0.12,0.0436,0.71,0.2582,0.59,0.2145,1.11,0.4036,0.19,0.0691,0.04,0.0145,14.24,0.797,26,0.07,38,man,all,1.282,18.25,61.89,1.41,0.056,0.8,278.83,9.44,0.526,7.49,397.76,9.7,0.321,4.57,570.52,10.93,0.347,4.94,73.27,1.32,0.03,0.42,13.19,0.15,0.002,0.03
59.82,3.42,0.0572,7.08,0.1184,4.07,0.068,4.56,0.0762,32.31,0.5401,8.38,0.1401,3.17,0.827,14,0.591,56,woman,low,15.335,48.61,2009.28,42.12,1.699,5.39,3230.66,103.97,6.168,19.55,2546.77,66.88,2.263,7.17,2082.1,40.5,1.18,3.74,11841.24,186.64,3.597,11.4,2581.32,29.08,0.429,1.36
71.73,13.24,0.1846,10.61,0.1479,23.95,0.3339,14.39,0.2006,3.7,0.0516,5.84,0.0814,7.0,0.964,16,0.329,24,man,high,38.762,271.33,7707.53,186.53,7.42,51.94,4418.81,148.39,8.933,62.53,15145.77,491.56,17.393,121.75,6540.02,144.51,4.222,29.55,1400.35,26.12,0.532,3.73,1817.84,18.21,0.262,1.83
99.27,28.35,0.2856,15.32,0.1543,11.4,0.1148,18.36,0.185,14.99,0.151,10.83,0.1091,12.01,0.517,19,0.512,64,all,low,34.914,419.32,14935.99,262.14,10.97,131.75,6965.22,199.27,11.18,134.27,8059.38,155.86,5.829,70.0,9174.04,157.7,4.889,58.71,5914.61,83.75,1.438,17.27,3525.73,39.68,0.608,7.3
6.15,0.14,0.0228,0.21,0.0341,3.25,0.5285,0.45,0.0732,1.64,0.2667,0.45,0.0732,3.24,0.756,29,0.062,65,man,high,2.711,8.78,71.37,1.71,0.067,0.22,85.42,2.86,0.151,0.49,2199.81,65.46,2.05,6.64,188.76,3.84,0.124,0.4,705.01,12.86,0.293,0.95,145.71,1.67,0.026,0.08
7.31,2.68,0.3666,0.41,0.0561,2.69,0.368,1.33,0.1819,0.13,0.0178,0.07,0.0096,6.42,0.637,6,0.542,31,woman,low,3.184,20.44,1381.73,24.59,0.958,6.15,176.59,5.13,0.303,1.95,1831.8,43.19,1.511,9.7,684.16,12.33,0.394,2.53,52.2,0.75,0.014,0.09,22.94,0.25,0.004,0.02
75.99,13.49,0.1775,2.73,0.0359,13.16,0.1732,17.82,0.2345,20.14,0.265,8.65,0.1138,2.15,0.642,25,0.2,21,man,all,24.651,53.0,7707.25,159.94,6.337,13.62,1113.06,39.28,2.382,5.12,9002.6,274.82,9.021,19.4,8596.65,161.36,4.557,9.8,7435.3,107.26,1.883,4.05,2718.76,28.73,0.471,1.01
1.33,0.41,0.3083,0.23,0.1729,0.17,0.1278,0.28,0.2105,0.02,0.015,0.23,0.1729,12.74,0.814,16,0.097,77,man,low,0.617,7.86,220.95,4.48,0.197,2.51,101.85,3.1,0.196,2.5,135.24,3.54,0.121,1.55,137.28,2.52,0.086,1.09,7.65,0.13,0.003,0.03,79.96,0.93,0.014,0.18
112.94,43.98,0.3894,42.6,0.3772,6.15,0.0545,13.71,0.1214,2.92,0.0259,3.57,0.0316,15.01,0.856,20,0.548,55,man,high,71.681,1075.94,30419.15,748.76,29.837,447.86,16877.97,642.29,32.91,493.98,4254.88,132.55,4.563,68.49,6323.51,119.94,3.736,56.08,1191.06,22.56,0.435,6.53,1049.63,14.08,0.201,3.02
69.61,2.69,0.0386,29.73,0.4271,2.23,0.032,10.23,0.147,9.82,0.1411,14.92,0.2143,10.52,0.534,12,0.361,22,man,high,28.811,303.09,1419.3,29.19,1.038,10.92,12789.85,349.18,21.743,228.74,1407.38,36.43,1.228,12.92,5071.39,111.49,3.223,33.91,3471.68,54.75,0.817,8.6,4910.64,52.87,0.762,8.01
74.92,18.68,0.2493,3.62,0.0483,32.57,0.4347,13.3,0.1775,1.9,0.0254,4.85,0.0647,10.34,0.53,22,0.246,53,woman,high,34.008,351.64,9595.73,207.87,8.946,92.5,1501.64,48.53,2.908,30.07,22286.85,505.35,17.934,185.43,6479.59,128.24,3.681,38.06,695.92,12.11,0.291,3.01,1592.98,16.31,0.248,2.57
13.53,3.87,0.286,0.01,0.0007,0.97,0.0717,1.67,0.1234,3.84,0.2838,3.18,0.235,5.59,0.934,24,0.089,39,woman,high,3.703,20.7,2230.68,49.23,2.098,11.73,4.35,0.16,0.009,0.05,685.37,17.31,0.57,3.19,867.22,14.84,0.435,2.43,1328.81,22.37,0.452,2.53,954.01,9.68,0.139,0.78
10.35,0.28,0.0271,4.54,0.4386,1.29,0.1246,0.96,0.0928,2.96,0.286,0.31,0.03,21.55,0.591,20,0.554,43,woman,low,5.376,115.84,155.69,2.81,0.119,2.57,1911.34,58.97,3.847,82.91,914.12,20.64,0.807,17.4,462.63,8.01,0.19,4.08,1132.41,17.87,0.395,8.52,106.1,1.09,0.016,0.35
25.64,2.34,0.0913,3.22,0.1256,0.54,0.0211,9.97,0.3888,6.16,0.2402,3.4,0.1326,6.45,0.867,6,0.468,62,man,high,9.267,59.77,1445.6,33.64,1.345,8.68,1340.05,53.01,3.321,21.42,393.1,11.17,0.427,2.76,5249.58,114.21,3.242,20.91,2203.23,35.58,0.758,4.89,1112.86,13.18,0.174,1.12
60.16,5.74,0.0954,9.81,0.1631,2.25,0.0374,18.48,0.3072,1.48,0.0246,22.4,0.3723,0.9,0.738,14,0.573,21,man,high,19.827,17.84,2999.9,62.69,2.517,2.27,3965.72,149.67,8.784,7.91,1467.14,41.32,1.465,1.32,9445.44,187.27,5.322,4.79,548.96,8.36,0.154,0.14,7836.28,92.36,1.586,1.43
38.01,4.63,0.1218,12.26,0.3225,4.65,0.1223,7.58,0.1994,4.36,0.1147,4.54,0.1194,10.16,0.956,8,0.342,56,woman,all,18.398,186.92,2541.58,52.04,2.06,20.93,4995.93,161.29,10.096,102.57,3274.42,91.7,3.296,33.49,3603.18,65.1,2.124,21.58,1735.05,29.42,0.558,5.67,1443.15,16.73,0.264,2.68
35.71,7.06,0.1977,7.84,0.2195,12.07,0.338,2.95,0.0826,0.51,0.0143,5.28,0.1479,11.79,0.638,16,0.452,73,woman,high,20.002,235.83,3878.06,79.22,3.639,42.91,3723.58,120.35,7.613,89.76,7732.72,224.32,7.664,90.35,1228.4,26.72,0.757,8.92,173.81,3.06,0.054,0.64,1637.06,18.29,0.275,3.24
25.45,1.44,0.0566,6.14,0.2413,8.92,0.3505,1.08,0.0424,2.04,0.0802,5.84,0.2295,9.99,0.737,2,0.153,36,woman,high,12.35,123.38,783.55,15.96,0.743,7.43,2867.82,82.84,5.08,50.75,6078.78,149.75,5.497,54.91,562.29,12.67,0.412,4.11,738.3,12.59,0.293,2.93,1902.84,24.06,0.326,3.26
1.37,0.22,0.1606,0.36,0.2628,0.31,0.2263,0.05,0.0365,0.42,0.3066,0.02,0.0146,8.59,0.565,26,0.241,57,woman,high,0.682,5.86,117.42,2.74,0.124,1.07,179.79,5.79,0.319,2.74,204.89,4.41,0.173,1.49,26.73,0.54,0.017,0.15,158.48,2.39,0.048,0.41,5.69,0.07,0.001,0.01
97.69,2.94,0.0301,4.53,0.0464,13.04,0.1335,10.9,0.1116,15.95,0.1633,50.33,0.5152,20.82,0.774,15,0.177,17,woman,low,19.381,403.51,1732.06,32.14,1.297,27.0,1986.93,60.1,3.669,76.4,8828.11,233.25,7.853,163.5,5397.91,91.93,2.834,59.01,5912.44,80.21,1.507,31.38,14900.23,163.24,2.22,46.23
17.59,0.64,0.0364,0.23,0.0131,2.52,0.1433,2.2,0.1251,1.33,0.0756,10.67,0.6066,0.87,0.737,11,0.071,21,woman,low,2.945,2.56,345.35,7.55,0.265,0.23,96.91,2.7,0.148,0.13,1924.1,44.15,1.481,1.29,1049.37,19.4,0.533,0.46,539.09,8.21,0.159,0.14,3233.53,28.16,0.36,0.31
11.93,4.74,0.3973,1.63,0.1366,0.21,0.0176,0.26,0.0218,1.69,0.1417,3.39,0.2842,16.2,0.797,9,0.357,48,woman,all,4.265,69.09,2612.87,55.52,2.282,36.96,643.53,21.1,1.39,22.51,142.36,4.46,0.156,2.53,122.77,2.33,0.063,1.03,725.14,9.72,0.192,3.11,973.05,11.8,0.182,2.95
